"ID","Calificacion_riesgo_pred"
3,"0"
8,"0"
17,"0"
24,"0"
25,"0"
26,"0"
31,"1"
33,"1"
40,"0"
41,"0"
44,"0"
45,"1"
47,"1"
48,"1"
51,"1"
55,"1"
56,"0"
63,"0"
65,"0"
67,"1"
71,"1"
77,"0"
83,"1"
88,"2"
90,"2"
91,"2"
98,"2"
99,"1"
100,"1"
101,"1"
102,"1"
105,"1"
107,"1"
111,"1"
112,"1"
116,"1"
120,"1"
121,"1"
123,"1"
125,"1"
126,"1"
131,"1"
138,"2"
141,"1"
142,"1"
144,"1"
148,"2"
149,"2"
150,"1"
157,"1"
159,"1"
165,"1"
166,"2"
174,"1"
175,"1"
181,"2"
183,"2"
184,"2"
188,"1"
189,"1"
192,"1"
197,"1"
202,"2"
221,"1"
225,"1"
226,"1"
229,"1"
231,"2"
241,"2"
242,"1"
245,"1"
248,"1"
252,"2"
255,"1"
256,"1"
257,"1"
258,"1"
259,"2"
261,"1"
262,"2"
281,"2"
282,"1"
283,"1"
285,"1"
286,"1"
287,"0"
290,"0"
294,"1"
296,"1"
297,"0"
300,"2"
302,"1"
303,"1"
304,"2"
312,"1"
314,"1"
320,"1"
322,"1"
336,"2"
337,"2"
349,"2"
353,"1"
355,"1"
358,"1"
364,"1"
366,"2"
369,"1"
371,"1"
375,"1"
377,"1"
381,"2"
390,"1"
397,"2"
418,"1"
420,"1"
422,"2"
423,"1"
425,"1"
438,"1"
445,"2"
450,"2"
462,"1"
467,"2"
468,"1"
481,"1"
485,"1"
487,"1"
491,"2"
498,"0"
501,"0"
503,"0"
505,"2"
507,"2"
509,"1"
511,"1"
516,"0"
518,"0"
519,"0"
527,"1"
529,"1"
535,"2"
542,"1"
547,"0"
548,"0"
553,"1"
556,"1"
559,"1"
560,"1"
561,"1"
563,"1"
566,"1"
567,"1"
569,"1"
576,"1"
578,"1"
579,"1"
580,"1"
587,"2"
588,"0"
594,"1"
599,"1"
603,"0"
606,"1"
608,"1"
612,"1"
613,"1"
616,"1"
617,"1"
618,"1"
619,"1"
624,"1"
625,"1"
626,"1"
632,"1"
635,"2"
640,"1"
641,"2"
644,"2"
651,"1"
653,"1"
655,"1"
656,"1"
658,"1"
659,"1"
665,"1"
667,"2"
670,"2"
673,"2"
674,"2"
679,"1"
681,"1"
684,"1"
685,"1"
687,"1"
691,"1"
693,"1"
694,"2"
695,"2"
699,"1"
704,"2"
706,"2"
709,"2"
710,"2"
713,"2"
715,"2"
716,"2"
720,"1"
723,"1"
726,"0"
727,"0"
736,"1"
737,"1"
738,"1"
739,"1"
741,"1"
742,"1"
743,"1"
747,"1"
753,"1"
758,"0"
760,"0"
761,"0"
762,"0"
764,"1"
771,"1"
778,"1"
779,"1"
780,"1"
784,"1"
785,"1"
791,"1"
792,"2"
796,"2"
797,"2"
798,"2"
800,"2"
804,"2"
805,"2"
806,"1"
822,"1"
824,"1"
829,"1"
832,"1"
833,"0"
834,"0"
842,"1"
843,"1"
844,"1"
851,"1"
853,"1"
855,"1"
856,"1"
863,"1"
865,"1"
868,"1"
869,"1"
870,"1"
871,"1"
873,"2"
874,"1"
875,"1"
877,"1"
879,"1"
880,"0"
883,"1"
887,"1"
888,"1"
889,"1"
892,"2"
895,"2"
896,"2"
899,"2"
900,"2"
902,"2"
905,"1"
911,"1"
912,"1"
913,"1"
916,"1"
921,"1"
925,"1"
928,"1"
930,"1"
936,"1"
938,"1"
945,"1"
946,"1"
948,"2"
950,"1"
953,"1"
957,"1"
958,"1"
960,"1"
967,"1"
969,"1"
981,"2"
985,"0"
986,"1"
989,"1"
993,"1"
995,"2"
1001,"2"
1002,"0"
1009,"1"
1015,"1"
1018,"1"
1021,"1"
1022,"1"
1028,"0"
