"","sales","Date"
"1",56,2014-01-01
"2",53,2014-02-01
"3",55,2014-03-01
"4",54,2014-04-01
"5",59,2014-05-01
"6",61,2014-06-01
"7",46,2014-07-01
"8",44,2014-08-01
"9",58,2014-09-01
"10",86,2014-10-01
"11",115,2014-11-01
"12",146,2014-12-01
"13",51,2015-01-01
"14",50,2015-02-01
"15",61,2015-03-01
"16",65,2015-04-01
"17",76,2015-05-01
"18",65,2015-06-01
"19",61,2015-07-01
"20",35,2015-08-01
"21",72,2015-09-01
"22",89,2015-10-01
"23",137,2015-11-01
"24",167,2015-12-01
"25",62,2016-01-01
"26",60,2016-02-01
"27",81,2016-03-01
"28",70,2016-04-01
"29",79,2016-05-01
"30",80,2016-06-01
"31",65,2016-07-01
"32",31,2016-08-01
"33",71,2016-09-01
"34",104,2016-10-01
"35",152,2016-11-01
"36",185,2016-12-01
"37",108,2017-01-01
"38",62,2017-02-01
"39",74,2017-03-01
"40",90,2017-04-01
"41",90,2017-05-01
"42",91,2017-06-01
"43",73,2017-07-01
"44",33,2017-08-01
"45",95,2017-09-01
"46",109,2017-10-01
"47",166,2017-11-01
"48",213,2017-12-01
"49",73,2018-01-01
"50",86,2018-02-01
"51",83,2018-03-01
"52",82,2018-04-01
"53",93,2018-05-01
"54",95,2018-06-01
"55",79,2018-07-01
"56",34,2018-08-01
"57",101,2018-09-01
"58",138,2018-10-01
"59",197,2018-11-01
"60",227,2018-12-01
"61",80,2019-01-01
"62",79,2019-02-01
"63",90,2019-03-01
"64",86,2019-04-01
"65",99,2019-05-01
"66",94,2019-06-01
"67",70,2019-07-01
"68",36,2019-08-01
"69",104,2019-09-01
"70",137,2019-10-01
"71",216,2019-11-01
"72",278,2019-12-01
"73",53,2020-01-01
"74",58,2020-02-01
"75",67,2020-03-01
"76",75,2020-04-01
"77",59,2020-05-01
"78",80,2020-06-01
"79",84,2020-07-01
"80",35,2020-08-01
"81",104,2020-09-01
"82",128,2020-10-01
"83",197,2020-11-01
"84",262,2020-12-01
"85",79,2021-01-01
"86",63,2021-02-01
"87",86,2021-03-01
"88",94,2021-04-01
"89",100,2021-05-01
"90",97,2021-06-01
"91",93,2021-07-01
"92",33,2021-08-01
"93",119,2021-09-01
"94",140,2021-10-01
"95",197,2021-11-01
"96",253,2021-12-01
"97",87,2022-01-01
"98",71,2022-02-01
"99",92,2022-03-01
"100",96,2022-04-01
"101",92,2022-05-01
"102",106,2022-06-01
"103",86,2022-07-01
"104",28,2022-08-01
"105",118,2022-09-01
